heldout_seed,regression_budget,selected_model,selected_rule,source_rows,source_recoveries,source_regressions,trials,baseline_acc,raw_router_acc,raw_router_delta,pairwise_gated_acc,pairwise_gated_delta,delta_vs_raw_router,raw_accepts,raw_recoveries,raw_regressions,pairwise_accepts,pairwise_recoveries,pairwise_regressions,recovery_retention,regression_retention
60601,0,mathstral,never,158,0,0,592,0.23986486486486486,0.38344594594594594,0.14358108108108109,0.23986486486486486,0.0,-0.14358108108108109,155,90,5,0,0,0,0.0,0.0
60601,1,mathstral,B_or_BOTH,158,30,1,592,0.23986486486486486,0.38344594594594594,0.14358108108108109,0.3158783783783784,0.07601351351351351,-0.06756756756756757,155,90,5,71,45,0,0.5,0.0
60601,2,qwen14b,B,158,54,2,592,0.23986486486486486,0.38344594594594594,0.14358108108108109,0.34628378378378377,0.10641891891891891,-0.037162162162162164,155,90,5,98,64,1,0.7111111111111111,0.2
60601,3,qwen14b,B,158,54,2,592,0.23986486486486486,0.38344594594594594,0.14358108108108109,0.34628378378378377,0.10641891891891891,-0.037162162162162164,155,90,5,98,64,1,0.7111111111111111,0.2
60601,4,qwen14b,B,158,54,2,592,0.23986486486486486,0.38344594594594594,0.14358108108108109,0.34628378378378377,0.10641891891891891,-0.037162162162162164,155,90,5,98,64,1,0.7111111111111111,0.2
60601,5,qwen14b,B,158,54,2,592,0.23986486486486486,0.38344594594594594,0.14358108108108109,0.34628378378378377,0.10641891891891891,-0.037162162162162164,155,90,5,98,64,1,0.7111111111111111,0.2
60601,6,qwen14b,B,158,54,2,592,0.23986486486486486,0.38344594594594594,0.14358108108108109,0.34628378378378377,0.10641891891891891,-0.037162162162162164,155,90,5,98,64,1,0.7111111111111111,0.2
60601,8,mathstral,always,158,65,8,592,0.23986486486486486,0.38344594594594594,0.14358108108108109,0.38344594594594594,0.14358108108108109,0.0,155,90,5,155,90,5,1.0,1.0
60601,10,mathstral,always,158,65,8,592,0.23986486486486486,0.38344594594594594,0.14358108108108109,0.38344594594594594,0.14358108108108109,0.0,155,90,5,155,90,5,1.0,1.0
60601,12,mathstral,always,158,65,8,592,0.23986486486486486,0.38344594594594594,0.14358108108108109,0.38344594594594594,0.14358108108108109,0.0,155,90,5,155,90,5,1.0,1.0
60601,15,mathstral,always,158,65,8,592,0.23986486486486486,0.38344594594594594,0.14358108108108109,0.38344594594594594,0.14358108108108109,0.0,155,90,5,155,90,5,1.0,1.0
60601,20,mathstral,always,158,65,8,592,0.23986486486486486,0.38344594594594594,0.14358108108108109,0.38344594594594594,0.14358108108108109,0.0,155,90,5,155,90,5,1.0,1.0
60601,25,mathstral,always,158,65,8,592,0.23986486486486486,0.38344594594594594,0.14358108108108109,0.38344594594594594,0.14358108108108109,0.0,155,90,5,155,90,5,1.0,1.0
60601,30,mathstral,always,158,65,8,592,0.23986486486486486,0.38344594594594594,0.14358108108108109,0.38344594594594594,0.14358108108108109,0.0,155,90,5,155,90,5,1.0,1.0
60601,40,mathstral,always,158,65,8,592,0.23986486486486486,0.38344594594594594,0.14358108108108109,0.38344594594594594,0.14358108108108109,0.0,155,90,5,155,90,5,1.0,1.0
60601,60,mathstral,always,158,65,8,592,0.23986486486486486,0.38344594594594594,0.14358108108108109,0.38344594594594594,0.14358108108108109,0.0,155,90,5,155,90,5,1.0,1.0
60601,100,mathstral,always,158,65,8,592,0.23986486486486486,0.38344594594594594,0.14358108108108109,0.38344594594594594,0.14358108108108109,0.0,155,90,5,155,90,5,1.0,1.0
60602,0,gemma4,B,204,49,0,592,0.22635135135135134,0.30236486486486486,0.07601351351351351,0.27364864864864863,0.0472972972972973,-0.028716216216216218,97,50,5,29,28,0,0.56,0.0
60602,1,gemma4,B,204,49,0,592,0.22635135135135134,0.30236486486486486,0.07601351351351351,0.27364864864864863,0.0472972972972973,-0.028716216216216218,97,50,5,29,28,0,0.56,0.0
60602,2,qwen14b,B,204,53,2,592,0.22635135135135134,0.30236486486486486,0.07601351351351351,0.2905405405405405,0.06418918918918919,-0.011824324324324325,97,50,5,53,39,1,0.78,0.2
60602,3,qwen14b,B,204,53,2,592,0.22635135135135134,0.30236486486486486,0.07601351351351351,0.2905405405405405,0.06418918918918919,-0.011824324324324325,97,50,5,53,39,1,0.78,0.2
60602,4,qwen14b,B,204,53,2,592,0.22635135135135134,0.30236486486486486,0.07601351351351351,0.2905405405405405,0.06418918918918919,-0.011824324324324325,97,50,5,53,39,1,0.78,0.2
60602,5,qwen14b,B,204,53,2,592,0.22635135135135134,0.30236486486486486,0.07601351351351351,0.2905405405405405,0.06418918918918919,-0.011824324324324325,97,50,5,53,39,1,0.78,0.2
60602,6,qwen14b,B,204,53,2,592,0.22635135135135134,0.30236486486486486,0.07601351351351351,0.2905405405405405,0.06418918918918919,-0.011824324324324325,97,50,5,53,39,1,0.78,0.2
60602,8,qwen14b,B,204,53,2,592,0.22635135135135134,0.30236486486486486,0.07601351351351351,0.2905405405405405,0.06418918918918919,-0.011824324324324325,97,50,5,53,39,1,0.78,0.2
60602,10,qwen14b,B,204,53,2,592,0.22635135135135134,0.30236486486486486,0.07601351351351351,0.2905405405405405,0.06418918918918919,-0.011824324324324325,97,50,5,53,39,1,0.78,0.2
60602,12,qwen14b,B,204,53,2,592,0.22635135135135134,0.30236486486486486,0.07601351351351351,0.2905405405405405,0.06418918918918919,-0.011824324324324325,97,50,5,53,39,1,0.78,0.2
60602,15,mathstral,always,204,84,13,592,0.22635135135135134,0.30236486486486486,0.07601351351351351,0.30236486486486486,0.07601351351351351,0.0,97,50,5,97,50,5,1.0,1.0
60602,20,mathstral,always,204,84,13,592,0.22635135135135134,0.30236486486486486,0.07601351351351351,0.30236486486486486,0.07601351351351351,0.0,97,50,5,97,50,5,1.0,1.0
60602,25,mathstral,always,204,84,13,592,0.22635135135135134,0.30236486486486486,0.07601351351351351,0.30236486486486486,0.07601351351351351,0.0,97,50,5,97,50,5,1.0,1.0
60602,30,mathstral,always,204,84,13,592,0.22635135135135134,0.30236486486486486,0.07601351351351351,0.30236486486486486,0.07601351351351351,0.0,97,50,5,97,50,5,1.0,1.0
60602,40,mathstral,always,204,84,13,592,0.22635135135135134,0.30236486486486486,0.07601351351351351,0.30236486486486486,0.07601351351351351,0.0,97,50,5,97,50,5,1.0,1.0
60602,60,mathstral,always,204,84,13,592,0.22635135135135134,0.30236486486486486,0.07601351351351351,0.30236486486486486,0.07601351351351351,0.0,97,50,5,97,50,5,1.0,1.0
60602,100,mathstral,always,204,84,13,592,0.22635135135135134,0.30236486486486486,0.07601351351351351,0.30236486486486486,0.07601351351351351,0.0,97,50,5,97,50,5,1.0,1.0
