regression_budget,folds,trials,baseline_acc,raw_router_acc,raw_router_delta,raw_router_delta_ci95,pairwise_gated_acc,pairwise_gated_delta,pairwise_gated_delta_ci95,delta_vs_raw_router,raw_accepts,raw_recoveries,raw_regressions,pairwise_accepts,pairwise_recoveries,pairwise_regressions,recovery_retention,regression_retention,selected
0,3,1776,0.23704954954954954,0.3552927927927928,0.11824324324324324,"[+0.078, +0.159]",0.29786036036036034,0.060810810810810814,"[+0.031, +0.093]",-0.057432432432432436,519,240,30,296,128,20,0.5333333333333333,0.6666666666666666,60601:mathstral/never; 60602:gemma4/B; 60603:mathstral/always
1,3,1776,0.23704954954954954,0.3552927927927928,0.11824324324324324,"[+0.080, +0.159]",0.32319819819819817,0.08614864864864864,"[+0.053, +0.121]",-0.03209459459459459,519,240,30,367,173,20,0.7208333333333333,0.6666666666666666,60601:mathstral/B_or_BOTH; 60602:gemma4/B; 60603:mathstral/always
2,3,1776,0.23704954954954954,0.3552927927927928,0.11824324324324324,"[+0.079, +0.159]",0.33896396396396394,0.10191441441441441,"[+0.066, +0.139]",-0.01632882882882883,519,240,30,418,203,22,0.8458333333333333,0.7333333333333333,60601:qwen14b/B; 60602:qwen14b/B; 60603:mathstral/always
3,3,1776,0.23704954954954954,0.3552927927927928,0.11824324324324324,"[+0.078, +0.160]",0.33896396396396394,0.10191441441441441,"[+0.067, +0.139]",-0.01632882882882883,519,240,30,418,203,22,0.8458333333333333,0.7333333333333333,60601:qwen14b/B; 60602:qwen14b/B; 60603:mathstral/always
4,3,1776,0.23704954954954954,0.3552927927927928,0.11824324324324324,"[+0.079, +0.159]",0.33896396396396394,0.10191441441441441,"[+0.067, +0.140]",-0.01632882882882883,519,240,30,418,203,22,0.8458333333333333,0.7333333333333333,60601:qwen14b/B; 60602:qwen14b/B; 60603:mathstral/always
5,3,1776,0.23704954954954954,0.3552927927927928,0.11824324324324324,"[+0.079, +0.158]",0.33896396396396394,0.10191441441441441,"[+0.065, +0.139]",-0.01632882882882883,519,240,30,418,203,22,0.8458333333333333,0.7333333333333333,60601:qwen14b/B; 60602:qwen14b/B; 60603:mathstral/always
6,3,1776,0.23704954954954954,0.3552927927927928,0.11824324324324324,"[+0.079, +0.159]",0.33896396396396394,0.10191441441441441,"[+0.068, +0.139]",-0.01632882882882883,519,240,30,418,203,22,0.8458333333333333,0.7333333333333333,60601:qwen14b/B; 60602:qwen14b/B; 60603:mathstral/always
8,3,1776,0.23704954954954954,0.3552927927927928,0.11824324324324324,"[+0.079, +0.160]",0.35135135135135137,0.1143018018018018,"[+0.076, +0.155]",-0.003941441441441441,519,240,30,475,229,26,0.9541666666666667,0.8666666666666667,60601:mathstral/always; 60602:qwen14b/B; 60603:mathstral/always
10,3,1776,0.23704954954954954,0.3552927927927928,0.11824324324324324,"[+0.079, +0.160]",0.35135135135135137,0.1143018018018018,"[+0.075, +0.155]",-0.003941441441441441,519,240,30,475,229,26,0.9541666666666667,0.8666666666666667,60601:mathstral/always; 60602:qwen14b/B; 60603:mathstral/always
12,3,1776,0.23704954954954954,0.3552927927927928,0.11824324324324324,"[+0.079, +0.160]",0.35135135135135137,0.1143018018018018,"[+0.075, +0.155]",-0.003941441441441441,519,240,30,475,229,26,0.9541666666666667,0.8666666666666667,60601:mathstral/always; 60602:qwen14b/B; 60603:mathstral/always
15,3,1776,0.23704954954954954,0.3552927927927928,0.11824324324324324,"[+0.079, +0.160]",0.3552927927927928,0.11824324324324324,"[+0.078, +0.159]",0.0,519,240,30,519,240,30,1.0,1.0,60601:mathstral/always; 60602:mathstral/always; 60603:mathstral/always
20,3,1776,0.23704954954954954,0.3552927927927928,0.11824324324324324,"[+0.079, +0.160]",0.3552927927927928,0.11824324324324324,"[+0.078, +0.159]",0.0,519,240,30,519,240,30,1.0,1.0,60601:mathstral/always; 60602:mathstral/always; 60603:mathstral/always
25,3,1776,0.23704954954954954,0.3552927927927928,0.11824324324324324,"[+0.078, +0.159]",0.3552927927927928,0.11824324324324324,"[+0.078, +0.160]",0.0,519,240,30,519,240,30,1.0,1.0,60601:mathstral/always; 60602:mathstral/always; 60603:mathstral/always
30,3,1776,0.23704954954954954,0.3552927927927928,0.11824324324324324,"[+0.080, +0.159]",0.3552927927927928,0.11824324324324324,"[+0.079, +0.160]",0.0,519,240,30,519,240,30,1.0,1.0,60601:mathstral/always; 60602:mathstral/always; 60603:mathstral/always
40,3,1776,0.23704954954954954,0.3552927927927928,0.11824324324324324,"[+0.079, +0.160]",0.3552927927927928,0.11824324324324324,"[+0.078, +0.160]",0.0,519,240,30,519,240,30,1.0,1.0,60601:mathstral/always; 60602:mathstral/always; 60603:mathstral/always
60,3,1776,0.23704954954954954,0.3552927927927928,0.11824324324324324,"[+0.079, +0.158]",0.3552927927927928,0.11824324324324324,"[+0.077, +0.160]",0.0,519,240,30,519,240,30,1.0,1.0,60601:mathstral/always; 60602:mathstral/always; 60603:mathstral/always
100,3,1776,0.23704954954954954,0.3552927927927928,0.11824324324324324,"[+0.079, +0.158]",0.3552927927927928,0.11824324324324324,"[+0.078, +0.159]",0.0,519,240,30,519,240,30,1.0,1.0,60601:mathstral/always; 60602:mathstral/always; 60603:mathstral/always
