heldout_seed,regression_budget,source_rows,test_rows,selected_model,selected_rule,selector_recoveries,selector_regressions,baseline_acc,gated_acc,gated_delta,accepts,recoveries,regressions
60601,0,203,155,mathstral,never,0,0,0.10967741935483871,0.10967741935483871,0.0,0,0,0
60601,1,203,155,mathstral,B_or_BOTH,30,1,0.10967741935483871,0.4,0.2903225806451613,71,45,0
60601,2,203,155,qwen14b,B,55,2,0.10967741935483871,0.5161290322580645,0.4064516129032258,98,64,1
60601,5,203,155,qwen14b,B,55,2,0.10967741935483871,0.5161290322580645,0.4064516129032258,98,64,1
60602,0,271,97,mathstral,never,0,0,0.16494845360824742,0.16494845360824742,0.0,0,0,0
60602,1,271,97,mathstral,B,60,1,0.16494845360824742,0.31958762886597936,0.15463917525773196,33,15,0
60602,2,271,97,gemma4,B,66,2,0.16494845360824742,0.4536082474226804,0.28865979381443296,29,28,0
60602,5,271,97,qwen14b,B,75,3,0.16494845360824742,0.5567010309278351,0.3917525773195876,53,39,1
60603,0,96,267,qwen14b,B,35,0,0.12359550561797752,0.4044943820224719,0.2808988764044944,137,77,2
60603,1,96,267,qwen14b,B,35,0,0.12359550561797752,0.4044943820224719,0.2808988764044944,137,77,2
60603,2,96,267,qwen14b,B,35,0,0.12359550561797752,0.4044943820224719,0.2808988764044944,137,77,2
60603,5,96,267,qwen14b,B,35,0,0.12359550561797752,0.4044943820224719,0.2808988764044944,137,77,2
