heldout_seed,regression_budget,source_rows,test_rows,selected_model,selected_rule,selector_recoveries,selector_regressions,baseline_acc,gated_acc,gated_delta,accepts,recoveries,regressions
60601,0,183,91,mathstral,never,0,0,0.14285714285714285,0.14285714285714285,0.0,0,0,0
60601,1,183,91,mathstral,never,0,0,0.14285714285714285,0.14285714285714285,0.0,0,0,0
60601,2,183,91,mathstral,never,0,0,0.14285714285714285,0.14285714285714285,0.0,0,0,0
60601,5,183,91,mathstral,never,0,0,0.14285714285714285,0.14285714285714285,0.0,0,0,0
60601,10,183,91,mathstral,never,0,0,0.14285714285714285,0.14285714285714285,0.0,0,0,0
60601,20,183,91,mathstral,never,0,0,0.14285714285714285,0.14285714285714285,0.0,0,0,0
60601,40,183,91,mathstral,never,0,0,0.14285714285714285,0.14285714285714285,0.0,0,0,0
60601,80,183,91,mathstral,never,0,0,0.14285714285714285,0.14285714285714285,0.0,0,0,0
60602,0,223,52,mathstral,never,0,0,0.17307692307692307,0.17307692307692307,0.0,0,0,0
60602,1,223,52,mathstral,never,0,0,0.17307692307692307,0.17307692307692307,0.0,0,0,0
60602,2,223,52,mathstral,never,0,0,0.17307692307692307,0.17307692307692307,0.0,0,0,0
60602,5,223,52,mathstral,never,0,0,0.17307692307692307,0.17307692307692307,0.0,0,0,0
60602,10,223,52,mathstral,never,0,0,0.17307692307692307,0.17307692307692307,0.0,0,0,0
60602,20,223,52,mathstral,never,0,0,0.17307692307692307,0.17307692307692307,0.0,0,0,0
60602,40,223,52,mathstral,never,0,0,0.17307692307692307,0.17307692307692307,0.0,0,0,0
60602,80,223,52,mathstral,never,0,0,0.17307692307692307,0.17307692307692307,0.0,0,0,0
60603,0,46,234,mathstral,never,0,0,0.13247863247863248,0.13247863247863248,0.0,0,0,0
60603,1,46,234,mathstral,never,0,0,0.13247863247863248,0.13247863247863248,0.0,0,0,0
60603,2,46,234,mathstral,never,0,0,0.13247863247863248,0.13247863247863248,0.0,0,0,0
60603,5,46,234,mathstral,never,0,0,0.13247863247863248,0.13247863247863248,0.0,0,0,0
60603,10,46,234,mathstral,never,0,0,0.13247863247863248,0.13247863247863248,0.0,0,0,0
60603,20,46,234,mathstral,never,0,0,0.13247863247863248,0.13247863247863248,0.0,0,0,0
60603,40,46,234,mathstral,never,0,0,0.13247863247863248,0.13247863247863248,0.0,0,0,0
60603,80,46,234,mathstral,never,0,0,0.13247863247863248,0.13247863247863248,0.0,0,0,0
