regression_budget,folds,trials,baseline_acc,raw_router_acc,raw_router_delta,raw_router_delta_ci95,pairwise_gated_acc,pairwise_gated_delta,pairwise_gated_delta_ci95,delta_vs_raw_router,raw_accepts,raw_recoveries,raw_regressions,pairwise_accepts,pairwise_recoveries,pairwise_regressions,recovery_retention,regression_retention,selected
0,3,1776,0.23704954954954954,0.3552927927927928,0.11824324324324324,"[+0.078, +0.159]",0.29504504504504503,0.05799549549549549,"[+0.033, +0.087]",-0.06024774774774775,519,240,30,166,105,2,0.4375,0.06666666666666667,60601:mathstral/never; 60602:gemma4/B; 60603:qwen14b/B
1,3,1776,0.23704954954954954,0.3552927927927928,0.11824324324324324,"[+0.080, +0.159]",0.32038288288288286,0.08333333333333333,"[+0.055, +0.115]",-0.03490990990990991,519,240,30,237,150,2,0.625,0.06666666666666667,60601:mathstral/B_or_BOTH; 60602:gemma4/B; 60603:qwen14b/B
2,3,1776,0.23704954954954954,0.3552927927927928,0.11824324324324324,"[+0.079, +0.159]",0.33614864864864863,0.0990990990990991,"[+0.067, +0.133]",-0.019144144144144143,519,240,30,288,180,4,0.75,0.13333333333333333,60601:qwen14b/B; 60602:qwen14b/B; 60603:qwen14b/B
3,3,1776,0.23704954954954954,0.3552927927927928,0.11824324324324324,"[+0.078, +0.160]",0.33614864864864863,0.0990990990990991,"[+0.068, +0.134]",-0.019144144144144143,519,240,30,288,180,4,0.75,0.13333333333333333,60601:qwen14b/B; 60602:qwen14b/B; 60603:qwen14b/B
4,3,1776,0.23704954954954954,0.3552927927927928,0.11824324324324324,"[+0.079, +0.159]",0.33614864864864863,0.0990990990990991,"[+0.068, +0.134]",-0.019144144144144143,519,240,30,288,180,4,0.75,0.13333333333333333,60601:qwen14b/B; 60602:qwen14b/B; 60603:qwen14b/B
5,3,1776,0.23704954954954954,0.3552927927927928,0.11824324324324324,"[+0.079, +0.158]",0.33614864864864863,0.0990990990990991,"[+0.068, +0.133]",-0.019144144144144143,519,240,30,288,180,4,0.75,0.13333333333333333,60601:qwen14b/B; 60602:qwen14b/B; 60603:qwen14b/B
6,3,1776,0.23704954954954954,0.3552927927927928,0.11824324324324324,"[+0.079, +0.159]",0.33614864864864863,0.0990990990990991,"[+0.068, +0.133]",-0.019144144144144143,519,240,30,288,180,4,0.75,0.13333333333333333,60601:qwen14b/B; 60602:qwen14b/B; 60603:qwen14b/B
8,3,1776,0.23704954954954954,0.3552927927927928,0.11824324324324324,"[+0.079, +0.160]",0.33614864864864863,0.0990990990990991,"[+0.067, +0.134]",-0.019144144144144143,519,240,30,288,180,4,0.75,0.13333333333333333,60601:qwen14b/B; 60602:qwen14b/B; 60603:qwen14b/B
10,3,1776,0.23704954954954954,0.3552927927927928,0.11824324324324324,"[+0.079, +0.160]",0.33614864864864863,0.0990990990990991,"[+0.068, +0.133]",-0.019144144144144143,519,240,30,288,180,4,0.75,0.13333333333333333,60601:qwen14b/B; 60602:qwen14b/B; 60603:qwen14b/B
12,3,1776,0.23704954954954954,0.3552927927927928,0.11824324324324324,"[+0.079, +0.160]",0.33614864864864863,0.0990990990990991,"[+0.068, +0.133]",-0.019144144144144143,519,240,30,288,180,4,0.75,0.13333333333333333,60601:qwen14b/B; 60602:qwen14b/B; 60603:qwen14b/B
15,3,1776,0.23704954954954954,0.3552927927927928,0.11824324324324324,"[+0.079, +0.160]",0.33614864864864863,0.0990990990990991,"[+0.067, +0.134]",-0.019144144144144143,519,240,30,288,180,4,0.75,0.13333333333333333,60601:qwen14b/B; 60602:qwen14b/B; 60603:qwen14b/B
20,3,1776,0.23704954954954954,0.3552927927927928,0.11824324324324324,"[+0.079, +0.160]",0.33614864864864863,0.0990990990990991,"[+0.069, +0.134]",-0.019144144144144143,519,240,30,288,180,4,0.75,0.13333333333333333,60601:qwen14b/B; 60602:qwen14b/B; 60603:qwen14b/B
25,3,1776,0.23704954954954954,0.3552927927927928,0.11824324324324324,"[+0.078, +0.159]",0.33614864864864863,0.0990990990990991,"[+0.068, +0.135]",-0.019144144144144143,519,240,30,288,180,4,0.75,0.13333333333333333,60601:qwen14b/B; 60602:qwen14b/B; 60603:qwen14b/B
30,3,1776,0.23704954954954954,0.3552927927927928,0.11824324324324324,"[+0.080, +0.159]",0.33614864864864863,0.0990990990990991,"[+0.068, +0.135]",-0.019144144144144143,519,240,30,288,180,4,0.75,0.13333333333333333,60601:qwen14b/B; 60602:qwen14b/B; 60603:qwen14b/B
