mode,pairwise_budget,guard,folds,trials,baseline_acc,raw_router_delta,guarded_delta,guarded_delta_ci95,delta_vs_raw_router,raw_recoveries,raw_regressions,guarded_accepts,guarded_recoveries,guarded_regressions,selected
fixed_guard,1,all_candidate,3,1776,0.23704954954954954,0.11824324324324324,0.039414414414414414,"[+0.021, +0.061]",-0.07882882882882883,240,30,94,71,1,60601:mathstral/B_or_BOTH/all_candidate; 60602:gemma4/B/all_candidate; 60603:qwen14b/B/all_candidate
fixed_guard,1,no_qwen_union,3,1776,0.23704954954954954,0.11824324324324324,0.04954954954954955,"[+0.028, +0.075]",-0.0686936936936937,240,30,136,88,0,60601:mathstral/B_or_BOTH/no_qwen_union; 60602:gemma4/B/no_qwen_union; 60603:qwen14b/B/no_qwen_union
fixed_guard,1,no_union,3,1776,0.23704954954954954,0.11824324324324324,0.019144144144144143,"[+0.008, +0.034]",-0.0990990990990991,240,30,58,34,0,60601:mathstral/B_or_BOTH/no_union; 60602:gemma4/B/no_union; 60603:qwen14b/B/no_union
fixed_guard,1,none,3,1776,0.23704954954954954,0.11824324324324324,0.08333333333333333,"[+0.055, +0.115]",-0.03490990990990991,240,30,237,150,2,60601:mathstral/B_or_BOTH/none; 60602:gemma4/B/none; 60603:qwen14b/B/none
fixed_guard,1,other_b,3,1776,0.23704954954954954,0.11824324324324324,0.07432432432432433,"[+0.047, +0.105]",-0.04391891891891892,240,30,184,133,1,60601:mathstral/B_or_BOTH/other_b; 60602:gemma4/B/other_b; 60603:qwen14b/B/other_b
fixed_guard,1,other_candidate,3,1776,0.23704954954954954,0.11824324324324324,0.07432432432432433,"[+0.047, +0.104]",-0.04391891891891892,240,30,192,133,1,60601:mathstral/B_or_BOTH/other_candidate; 60602:gemma4/B/other_candidate; 60603:qwen14b/B/other_candidate
fixed_guard,1,qwen_union_other_b,3,1776,0.23704954954954954,0.11824324324324324,0.07939189189189189,"[+0.051, +0.110]",-0.03885135135135135,240,30,208,142,1,60601:mathstral/B_or_BOTH/qwen_union_other_b; 60602:gemma4/B/qwen_union_other_b; 60603:qwen14b/B/qwen_union_other_b
fixed_guard,1,qwen_union_other_candidate,3,1776,0.23704954954954954,0.11824324324324324,0.07939189189189189,"[+0.051, +0.110]",-0.03885135135135135,240,30,208,142,1,60601:mathstral/B_or_BOTH/qwen_union_other_candidate; 60602:gemma4/B/qwen_union_other_candidate; 60603:qwen14b/B/qwen_union_other_candidate
fixed_guard,1,two_b,3,1776,0.23704954954954954,0.11824324324324324,0.07432432432432433,"[+0.047, +0.104]",-0.04391891891891892,240,30,184,133,1,60601:mathstral/B_or_BOTH/two_b; 60602:gemma4/B/two_b; 60603:qwen14b/B/two_b
fixed_guard,1,union_other_b,3,1776,0.23704954954954954,0.11824324324324324,0.07488738738738739,"[+0.048, +0.105]",-0.04335585585585586,240,30,191,134,1,60601:mathstral/B_or_BOTH/union_other_b; 60602:gemma4/B/union_other_b; 60603:qwen14b/B/union_other_b
fixed_guard,1,union_other_candidate,3,1776,0.23704954954954954,0.11824324324324324,0.07488738738738739,"[+0.047, +0.105]",-0.04335585585585586,240,30,199,134,1,60601:mathstral/B_or_BOTH/union_other_candidate; 60602:gemma4/B/union_other_candidate; 60603:qwen14b/B/union_other_candidate
fixed_guard,2,all_candidate,3,1776,0.23704954954954954,0.11824324324324324,0.039414414414414414,"[+0.021, +0.061]",-0.07882882882882883,240,30,86,71,1,60601:qwen14b/B/all_candidate; 60602:qwen14b/B/all_candidate; 60603:qwen14b/B/all_candidate
fixed_guard,2,no_qwen_union,3,1776,0.23704954954954954,0.11824324324324324,0.02195945945945946,"[+0.010, +0.037]",-0.09628378378378379,240,30,77,39,0,60601:qwen14b/B/no_qwen_union; 60602:qwen14b/B/no_qwen_union; 60603:qwen14b/B/no_qwen_union
fixed_guard,2,no_union,3,1776,0.23704954954954954,0.11824324324324324,0.02195945945945946,"[+0.009, +0.038]",-0.09628378378378379,240,30,77,39,0,60601:qwen14b/B/no_union; 60602:qwen14b/B/no_union; 60603:qwen14b/B/no_union
fixed_guard,2,none,3,1776,0.23704954954954954,0.11824324324324324,0.0990990990990991,"[+0.068, +0.133]",-0.019144144144144143,240,30,288,180,4,60601:qwen14b/B/none; 60602:qwen14b/B/none; 60603:qwen14b/B/none
fixed_guard,2,other_b,3,1776,0.23704954954954954,0.11824324324324324,0.08220720720720721,"[+0.053, +0.114]",-0.036036036036036036,240,30,213,147,1,60601:qwen14b/B/other_b; 60602:qwen14b/B/other_b; 60603:qwen14b/B/other_b
fixed_guard,2,other_candidate,3,1776,0.23704954954954954,0.11824324324324324,0.08220720720720721,"[+0.054, +0.115]",-0.036036036036036036,240,30,213,147,1,60601:qwen14b/B/other_candidate; 60602:qwen14b/B/other_candidate; 60603:qwen14b/B/other_candidate
fixed_guard,2,qwen_union_other_b,3,1776,0.23704954954954954,0.11824324324324324,0.08333333333333333,"[+0.054, +0.116]",-0.03490990990990991,240,30,223,149,1,60601:qwen14b/B/qwen_union_other_b; 60602:qwen14b/B/qwen_union_other_b; 60603:qwen14b/B/qwen_union_other_b
fixed_guard,2,qwen_union_other_candidate,3,1776,0.23704954954954954,0.11824324324324324,0.08333333333333333,"[+0.055, +0.115]",-0.03490990990990991,240,30,223,149,1,60601:qwen14b/B/qwen_union_other_candidate; 60602:qwen14b/B/qwen_union_other_candidate; 60603:qwen14b/B/qwen_union_other_candidate
fixed_guard,2,two_b,3,1776,0.23704954954954954,0.11824324324324324,0.08220720720720721,"[+0.053, +0.115]",-0.036036036036036036,240,30,213,147,1,60601:qwen14b/B/two_b; 60602:qwen14b/B/two_b; 60603:qwen14b/B/two_b
fixed_guard,2,union_other_b,3,1776,0.23704954954954954,0.11824324324324324,0.08333333333333333,"[+0.055, +0.115]",-0.03490990990990991,240,30,223,149,1,60601:qwen14b/B/union_other_b; 60602:qwen14b/B/union_other_b; 60603:qwen14b/B/union_other_b
fixed_guard,2,union_other_candidate,3,1776,0.23704954954954954,0.11824324324324324,0.08333333333333333,"[+0.054, +0.115]",-0.03490990990990991,240,30,223,149,1,60601:qwen14b/B/union_other_candidate; 60602:qwen14b/B/union_other_candidate; 60603:qwen14b/B/union_other_candidate
source_selected_guard,1,guard_budget_0,3,1776,0.23704954954954954,0.11824324324324324,0.06587837837837837,"[+0.040, +0.095]",-0.052364864864864864,240,30,183,119,2,60601:mathstral/B_or_BOTH/no_union; 60602:gemma4/B/none; 60603:qwen14b/B/none
source_selected_guard,1,guard_budget_1,3,1776,0.23704954954954954,0.11824324324324324,0.08333333333333333,"[+0.054, +0.115]",-0.03490990990990991,240,30,237,150,2,60601:mathstral/B_or_BOTH/none; 60602:gemma4/B/none; 60603:qwen14b/B/none
source_selected_guard,1,guard_budget_2,3,1776,0.23704954954954954,0.11824324324324324,0.08333333333333333,"[+0.054, +0.115]",-0.03490990990990991,240,30,237,150,2,60601:mathstral/B_or_BOTH/none; 60602:gemma4/B/none; 60603:qwen14b/B/none
source_selected_guard,2,guard_budget_0,3,1776,0.23704954954954954,0.11824324324324324,0.06813063063063063,"[+0.042, +0.097]",-0.050112612612612614,240,30,203,123,2,60601:qwen14b/B/no_qwen_union; 60602:qwen14b/B/other_candidate; 60603:qwen14b/B/none
source_selected_guard,2,guard_budget_1,3,1776,0.23704954954954954,0.11824324324324324,0.08614864864864864,"[+0.057, +0.119]",-0.03209459459459459,240,30,248,155,2,60601:qwen14b/B/other_candidate; 60602:qwen14b/B/other_candidate; 60603:qwen14b/B/none
source_selected_guard,2,guard_budget_2,3,1776,0.23704954954954954,0.11824324324324324,0.0990990990990991,"[+0.067, +0.133]",-0.019144144144144143,240,30,288,180,4,60601:qwen14b/B/none; 60602:qwen14b/B/none; 60603:qwen14b/B/none
