heldout_seed,regression_budget,selected_model,selected_rule,source_rows,source_recoveries,source_regressions,trials,baseline_acc,raw_router_acc,raw_router_delta,pairwise_gated_acc,pairwise_gated_delta,delta_vs_raw_router,raw_accepts,raw_recoveries,raw_regressions,pairwise_accepts,pairwise_recoveries,pairwise_regressions,recovery_retention,regression_retention
60601,0,qwen14b,B,112,41,0,592,0.23986486486486486,0.35135135135135137,0.11148648648648649,0.3108108108108108,0.07094594594594594,-0.04054054054054054,91,67,1,53,43,1,0.6417910447761194,1.0
60601,1,qwen14b,B,112,41,0,592,0.23986486486486486,0.35135135135135137,0.11148648648648649,0.3108108108108108,0.07094594594594594,-0.04054054054054054,91,67,1,53,43,1,0.6417910447761194,1.0
60601,2,qwen14b,B,112,41,0,592,0.23986486486486486,0.35135135135135137,0.11148648648648649,0.3108108108108108,0.07094594594594594,-0.04054054054054054,91,67,1,53,43,1,0.6417910447761194,1.0
60601,5,qwen14b,B,112,41,0,592,0.23986486486486486,0.35135135135135137,0.11148648648648649,0.3108108108108108,0.07094594594594594,-0.04054054054054054,91,67,1,53,43,1,0.6417910447761194,1.0
60602,0,gemma4,B,162,44,0,592,0.22635135135135134,0.2702702702702703,0.04391891891891892,0.26182432432432434,0.03547297297297297,-0.008445945945945946,52,27,1,21,21,0,0.7777777777777778,0.0
60602,1,gemma4,B,162,44,0,592,0.22635135135135134,0.2702702702702703,0.04391891891891892,0.26182432432432434,0.03547297297297297,-0.008445945945945946,52,27,1,21,21,0,0.7777777777777778,0.0
60602,2,qwen14b,B,162,48,2,592,0.22635135135135134,0.2702702702702703,0.04391891891891892,0.25675675675675674,0.030405405405405407,-0.013513513513513514,52,27,1,24,18,0,0.6666666666666666,0.0
60602,5,qwen14b,B,162,48,2,592,0.22635135135135134,0.2702702702702703,0.04391891891891892,0.25675675675675674,0.030405405405405407,-0.013513513513513514,52,27,1,24,18,0,0.6666666666666666,0.0
60603,0,gemma4,B,45,18,0,592,0.24493243243243243,0.38006756756756754,0.13513513513513514,0.33952702702702703,0.0945945945945946,-0.04054054054054054,234,98,18,77,56,0,0.5714285714285714,0.0
60603,1,gemma4,B,45,18,0,592,0.24493243243243243,0.38006756756756754,0.13513513513513514,0.33952702702702703,0.0945945945945946,-0.04054054054054054,234,98,18,77,56,0,0.5714285714285714,0.0
60603,2,gemma4,B,45,18,0,592,0.24493243243243243,0.38006756756756754,0.13513513513513514,0.33952702702702703,0.0945945945945946,-0.04054054054054054,234,98,18,77,56,0,0.5714285714285714,0.0
60603,5,gemma4,B,45,18,0,592,0.24493243243243243,0.38006756756756754,0.13513513513513514,0.33952702702702703,0.0945945945945946,-0.04054054054054054,234,98,18,77,56,0,0.5714285714285714,0.0
