heldout_seed,regression_budget,selected_model,selected_rule,source_rows,source_recoveries,source_regressions,trials,baseline_acc,raw_router_acc,raw_router_delta,pairwise_gated_acc,pairwise_gated_delta,delta_vs_raw_router,raw_accepts,raw_recoveries,raw_regressions,pairwise_accepts,pairwise_recoveries,pairwise_regressions,recovery_retention,regression_retention
60601,0,mathstral,never,4,0,0,592,0.4594594594594595,0.4594594594594595,0.0,0.4594594594594595,0.0,0.0,0,0,0,0,0,0,0.0,0.0
60601,1,mathstral,never,4,0,0,592,0.4594594594594595,0.4594594594594595,0.0,0.4594594594594595,0.0,0.0,0,0,0,0,0,0,0.0,0.0
60601,2,mathstral,never,4,0,0,592,0.4594594594594595,0.4594594594594595,0.0,0.4594594594594595,0.0,0.0,0,0,0,0,0,0,0.0,0.0
60601,5,mathstral,never,4,0,0,592,0.4594594594594595,0.4594594594594595,0.0,0.4594594594594595,0.0,0.0,0,0,0,0,0,0,0.0,0.0
60602,0,mathstral,never,2,0,0,592,0.43243243243243246,0.43243243243243246,0.0,0.43243243243243246,0.0,0.0,6,0,0,0,0,0,0.0,0.0
60602,1,mathstral,never,2,0,0,592,0.43243243243243246,0.43243243243243246,0.0,0.43243243243243246,0.0,0.0,6,0,0,0,0,0,0.0,0.0
60602,2,mathstral,never,2,0,0,592,0.43243243243243246,0.43243243243243246,0.0,0.43243243243243246,0.0,0.0,6,0,0,0,0,0,0.0,0.0
60602,5,mathstral,never,2,0,0,592,0.43243243243243246,0.43243243243243246,0.0,0.43243243243243246,0.0,0.0,6,0,0,0,0,0,0.0,0.0
60603,0,mathstral,never,4,0,0,592,0.44425675675675674,0.4375,-0.006756756756756757,0.44425675675675674,0.0,0.006756756756756757,9,1,5,0,0,0,0.0,0.0
60603,1,mathstral,never,4,0,0,592,0.44425675675675674,0.4375,-0.006756756756756757,0.44425675675675674,0.0,0.006756756756756757,9,1,5,0,0,0,0.0,0.0
60603,2,mathstral,never,4,0,0,592,0.44425675675675674,0.4375,-0.006756756756756757,0.44425675675675674,0.0,0.006756756756756757,9,1,5,0,0,0,0.0,0.0
60603,5,mathstral,never,4,0,0,592,0.44425675675675674,0.4375,-0.006756756756756757,0.44425675675675674,0.0,0.006756756756756757,9,1,5,0,0,0,0.0,0.0
