heldout_seed,regression_budget,source_rows,test_rows,selected_model,selected_rule,selector_recoveries,selector_regressions,baseline_acc,gated_acc,gated_delta,accepts,recoveries,regressions,natural_trials,upstream_accepts,upstream_recoveries,upstream_regressions,upstream_delta
60601,0,183,91,qwen14b,B,55,0,0.23986486486486486,0.3108108108108108,0.07094594594594594,53,43,1,592,91,67,1,0.11148648648648649
60601,1,183,91,qwen14b,B,55,0,0.23986486486486486,0.3108108108108108,0.07094594594594594,53,43,1,592,91,67,1,0.11148648648648649
60601,2,183,91,qwen14b,B,55,0,0.23986486486486486,0.3108108108108108,0.07094594594594594,53,43,1,592,91,67,1,0.11148648648648649
60601,5,183,91,qwen14b,B,55,0,0.23986486486486486,0.3108108108108108,0.07094594594594594,53,43,1,592,91,67,1,0.11148648648648649
60602,0,223,52,gemma4,B,64,0,0.22635135135135134,0.26182432432432434,0.03547297297297297,21,21,0,592,52,27,1,0.04391891891891892
60602,1,223,52,gemma4,B,64,0,0.22635135135135134,0.26182432432432434,0.03547297297297297,21,21,0,592,52,27,1,0.04391891891891892
60602,2,223,52,qwen14b,B,75,2,0.22635135135135134,0.25675675675675674,0.030405405405405407,24,18,0,592,52,27,1,0.04391891891891892
60602,5,223,52,qwen14b,B,75,2,0.22635135135135134,0.25675675675675674,0.030405405405405407,24,18,0,592,52,27,1,0.04391891891891892
60603,0,46,234,gemma4,B,18,0,0.24493243243243243,0.33952702702702703,0.0945945945945946,77,56,0,592,234,98,18,0.13513513513513514
60603,1,46,234,gemma4,B,18,0,0.24493243243243243,0.33952702702702703,0.0945945945945946,77,56,0,592,234,98,18,0.13513513513513514
60603,2,46,234,gemma4,B,18,0,0.24493243243243243,0.33952702702702703,0.0945945945945946,77,56,0,592,234,98,18,0.13513513513513514
60603,5,46,234,gemma4,B,18,0,0.24493243243243243,0.33952702702702703,0.0945945945945946,77,56,0,592,234,98,18,0.13513513513513514
