dropped_seed,dropped_pid,dropped_trials,dropped_contribution,loo_delta,loo_recoveries,loo_regressions
60601,1,1,0,0.31648936170212766,120,1
60601,2,8,0,0.3224932249322493,120,1
60601,3,8,8,0.3008130081300813,112,1
60601,10,8,1,0.31978319783197834,119,1
60601,12,8,0,0.3224932249322493,120,1
60601,15,1,0,0.31648936170212766,120,1
60601,27,1,0,0.31648936170212766,120,1
60601,29,1,0,0.31648936170212766,120,1
60601,43,2,2,0.312,118,1
60601,58,8,8,0.3008130081300813,112,1
60601,75,2,0,0.31733333333333336,120,1
60601,78,1,0,0.31648936170212766,120,1
60601,88,6,-1,0.32345013477088946,120,0
60601,96,8,7,0.3035230352303523,113,1
60601,98,1,1,0.31382978723404253,119,1
60601,100,7,5,0.3081081081081081,115,1
60601,101,8,0,0.3224932249322493,120,1
60601,102,6,5,0.30727762803234504,115,1
60601,111,6,6,0.3045822102425876,114,1
60602,2,8,0,0.3224932249322493,120,1
60602,11,1,0,0.31648936170212766,120,1
60602,12,8,8,0.3008130081300813,112,1
60602,16,1,0,0.31648936170212766,120,1
60602,18,1,0,0.31648936170212766,120,1
60602,35,8,8,0.3008130081300813,112,1
60602,43,2,0,0.31733333333333336,120,1
60602,46,3,0,0.3181818181818182,120,1
60602,47,2,0,0.31733333333333336,120,1
60602,69,1,0,0.31648936170212766,120,1
60602,91,3,3,0.31016042780748665,117,1
60602,95,3,0,0.3181818181818182,120,1
60602,98,1,1,0.31382978723404253,119,1
60602,99,1,0,0.31648936170212766,120,1
60602,100,1,0,0.31648936170212766,120,1
60602,111,1,1,0.31382978723404253,119,1
60602,114,4,0,0.3190348525469169,120,1
60602,121,1,0,0.31648936170212766,120,1
60602,124,1,0,0.31648936170212766,120,1
60602,126,1,0,0.31648936170212766,120,1
60603,1,6,0,0.32075471698113206,120,1
60603,2,8,0,0.3224932249322493,120,1
60603,3,8,6,0.3062330623306233,114,1
60603,7,3,3,0.31016042780748665,117,1
60603,9,1,0,0.31648936170212766,120,1
60603,10,7,0,0.3216216216216216,120,1
60603,14,3,0,0.3181818181818182,120,1
60603,15,7,0,0.3216216216216216,120,1
60603,16,5,0,0.31989247311827956,120,1
60603,18,5,0,0.31989247311827956,120,1
60603,19,4,2,0.3136729222520107,118,1
60603,28,7,0,0.3216216216216216,120,1
60603,29,1,1,0.31382978723404253,119,1
60603,35,6,6,0.3045822102425876,114,1
60603,39,5,0,0.31989247311827956,120,1
60603,41,8,0,0.3224932249322493,120,1
60603,43,2,0,0.31733333333333336,120,1
60603,47,8,0,0.3224932249322493,120,1
60603,49,5,0,0.31989247311827956,120,1
60603,50,2,0,0.31733333333333336,120,1
60603,53,4,0,0.3190348525469169,120,1
60603,54,3,0,0.3181818181818182,120,1
60603,56,1,0,0.31648936170212766,120,1
60603,57,1,0,0.31648936170212766,120,1
60603,59,2,0,0.31733333333333336,120,1
60603,61,2,0,0.31733333333333336,120,1
60603,63,1,0,0.31648936170212766,120,1
60603,69,6,0,0.32075471698113206,120,1
60603,70,3,0,0.3181818181818182,120,1
60603,77,2,0,0.31733333333333336,120,1
60603,78,6,0,0.32075471698113206,120,1
60603,79,3,0,0.3181818181818182,120,1
60603,81,1,0,0.31648936170212766,120,1
60603,83,3,3,0.31016042780748665,117,1
60603,85,1,0,0.31648936170212766,120,1
60603,87,4,0,0.3190348525469169,120,1
60603,88,6,0,0.32075471698113206,120,1
60603,91,8,8,0.3008130081300813,112,1
60603,94,6,2,0.31536388140161725,118,1
60603,95,8,1,0.31978319783197834,119,1
60603,96,8,8,0.3008130081300813,112,1
60603,99,3,0,0.3181818181818182,120,1
60603,101,8,5,0.3089430894308943,115,1
60603,102,7,7,0.3027027027027027,113,1
60603,104,3,0,0.3181818181818182,120,1
60603,107,8,3,0.3143631436314363,117,1
60603,110,1,0,0.31648936170212766,120,1
60603,111,8,1,0.31978319783197834,119,1
60603,112,7,0,0.3216216216216216,120,1
60603,115,3,0,0.3181818181818182,120,1
60603,120,3,0,0.3181818181818182,120,1
60603,121,1,0,0.31648936170212766,120,1
60603,124,2,0,0.31733333333333336,120,1
