packet_id,category,expected_choice,seed,pid,trial,policy,baseline_correct,policy_correct,baseline_answer,policy_answer,router_score,threshold
pairwise_router_v119_0001_both_correct_s60601_p10_t5,both_correct,BOTH,60601,10,5,union_rank_top3,True,True,10,30,0.9530733962623645,0.6522112366081658
pairwise_router_v119_0002_both_correct_s60601_p96_t2,both_correct,BOTH,60601,96,2,target_intersection_top20,True,True,\$1.50,\$7.50,0.8661754113956793,0.6522112366081658
pairwise_router_v119_0003_both_correct_s60601_p100_t1,both_correct,BOTH,60601,100,1,union_rank_top3,True,True,18^\circ,108^\circ,0.8927615080569675,0.6522112366081658
pairwise_router_v119_0004_both_correct_s60601_p100_t6,both_correct,BOTH,60601,100,6,union_rank_top3,True,True,18^\circ,108^\circ,0.9203631592520197,0.6522112366081658
pairwise_router_v119_0005_both_correct_s60603_p2_t0,both_correct,BOTH,60603,2,0,union_rank_top3,True,True,1.5,3/2,0.9998382264647643,0.4164719054085135
pairwise_router_v119_0006_both_correct_s60603_p2_t1,both_correct,BOTH,60603,2,1,union_rank_top3,True,True,1.5,3/2,0.9999305892878445,0.4164719054085135
pairwise_router_v119_0007_both_correct_s60603_p2_t2,both_correct,BOTH,60603,2,2,union_rank_top3,True,True,1.5,3/2,0.9998828334698652,0.4164719054085135
pairwise_router_v119_0008_both_correct_s60603_p2_t3,both_correct,BOTH,60603,2,3,union_rank_top3,True,True,1.5,3/2,0.9999676923120516,0.4164719054085135
pairwise_router_v119_0009_both_correct_s60603_p2_t4,both_correct,BOTH,60603,2,4,union_rank_top3,True,True,1.5,3/2,0.9999501899953596,0.4164719054085135
pairwise_router_v119_0010_both_correct_s60603_p2_t5,both_correct,BOTH,60603,2,5,union_rank_top3,True,True,1.5,3/2,0.9983918303022493,0.4164719054085135
pairwise_router_v119_0011_both_correct_s60603_p2_t6,both_correct,BOTH,60603,2,6,union_rank_top3,True,True,1.5,3/2,0.9974514702715899,0.4164719054085135
pairwise_router_v119_0012_both_correct_s60603_p2_t7,both_correct,BOTH,60603,2,7,union_rank_top3,True,True,1.5,3/2,0.9999481061189579,0.4164719054085135
pairwise_router_v119_0013_both_correct_s60603_p101_t7,both_correct,BOTH,60603,101,7,union_rank_top3,True,True,12,16,0.9386441841568117,0.4164719054085135
pairwise_router_v119_0014_both_correct_s60603_p107_t1,both_correct,BOTH,60603,107,1,union_rank_top3,True,True,5040,4\sqrt{315},0.9284679241075929,0.4164719054085135
