packet_id,category,expected_choice,seed,pid,trial,policy,baseline_correct,policy_correct,baseline_answer,policy_answer,router_score,threshold
pairwise_router_v120_budget0_all_0001_both_correct_s60601_p2_t0,both_correct,BOTH,60601,2,0,union_rank_top3,True,True,1.5,3/2,0.793578444377573,0.6522112366081658
pairwise_router_v120_budget0_all_0002_both_correct_s60601_p2_t1,both_correct,BOTH,60601,2,1,union_rank_top3,True,True,1.5,3/2,0.9095244103684108,0.6522112366081658
pairwise_router_v120_budget0_all_0003_both_correct_s60601_p2_t2,both_correct,BOTH,60601,2,2,union_rank_top3,True,True,1.5,3/2,0.8329534408405915,0.6522112366081658
pairwise_router_v120_budget0_all_0004_both_correct_s60601_p2_t3,both_correct,BOTH,60601,2,3,union_rank_top3,True,True,1.5,3/2,0.8392003705087366,0.6522112366081658
pairwise_router_v120_budget0_all_0005_both_correct_s60601_p2_t4,both_correct,BOTH,60601,2,4,union_rank_top3,True,True,1.5,3/2,0.8156211830632715,0.6522112366081658
pairwise_router_v120_budget0_all_0006_both_correct_s60601_p2_t5,both_correct,BOTH,60601,2,5,union_rank_top3,True,True,1.5,3/2,0.8704180068523446,0.6522112366081658
pairwise_router_v120_budget0_all_0007_both_correct_s60601_p2_t6,both_correct,BOTH,60601,2,6,union_rank_top3,True,True,1.5,3/2,0.7954315873042052,0.6522112366081658
pairwise_router_v120_budget0_all_0008_both_correct_s60601_p2_t7,both_correct,BOTH,60601,2,7,union_rank_top3,True,True,1.5,3/2,0.828397188311211,0.6522112366081658
pairwise_router_v120_budget0_all_0009_both_correct_s60601_p10_t5,both_correct,BOTH,60601,10,5,union_rank_top3,True,True,10,30,0.9530733962623645,0.6522112366081658
pairwise_router_v120_budget0_all_0010_both_correct_s60601_p96_t2,both_correct,BOTH,60601,96,2,target_intersection_top20,True,True,\$1.50,\$7.50,0.8661754113956793,0.6522112366081658
pairwise_router_v120_budget0_all_0011_both_correct_s60601_p100_t1,both_correct,BOTH,60601,100,1,union_rank_top3,True,True,18^\circ,108^\circ,0.8927615080569675,0.6522112366081658
pairwise_router_v120_budget0_all_0012_both_correct_s60601_p100_t6,both_correct,BOTH,60601,100,6,union_rank_top3,True,True,18^\circ,108^\circ,0.9203631592520197,0.6522112366081658
pairwise_router_v120_budget0_all_0013_both_correct_s60602_p2_t0,both_correct,BOTH,60602,2,0,union_rank_top3,True,True,1.5,3/2,0.9295857066017142,0.7695955566317789
pairwise_router_v120_budget0_all_0014_both_correct_s60602_p2_t1,both_correct,BOTH,60602,2,1,union_rank_top3,True,True,1.5,3/2,0.9356758260730506,0.7695955566317789
pairwise_router_v120_budget0_all_0015_both_correct_s60602_p2_t2,both_correct,BOTH,60602,2,2,union_rank_top3,True,True,1.5,3/2,0.9291977821735599,0.7695955566317789
pairwise_router_v120_budget0_all_0016_both_correct_s60602_p2_t3,both_correct,BOTH,60602,2,3,union_rank_top3,True,True,1.5,3/2,0.9111096117639476,0.7695955566317789
pairwise_router_v120_budget0_all_0017_both_correct_s60602_p2_t4,both_correct,BOTH,60602,2,4,union_rank_top3,True,True,1.5,3/2,0.9179374229625141,0.7695955566317789
pairwise_router_v120_budget0_all_0018_both_correct_s60602_p2_t5,both_correct,BOTH,60602,2,5,union_rank_top3,True,True,1.5,3/2,0.912247707871189,0.7695955566317789
pairwise_router_v120_budget0_all_0019_both_correct_s60602_p2_t6,both_correct,BOTH,60602,2,6,union_rank_top3,True,True,1.5,3/2,0.9462453668125508,0.7695955566317789
pairwise_router_v120_budget0_all_0020_both_correct_s60602_p2_t7,both_correct,BOTH,60602,2,7,union_rank_top3,True,True,1.5,3/2,0.9050507201674381,0.7695955566317789
pairwise_router_v120_budget0_all_0021_both_correct_s60603_p2_t0,both_correct,BOTH,60603,2,0,union_rank_top3,True,True,1.5,3/2,0.9998382264647643,0.4164719054085135
pairwise_router_v120_budget0_all_0022_both_correct_s60603_p2_t1,both_correct,BOTH,60603,2,1,union_rank_top3,True,True,1.5,3/2,0.9999305892878445,0.4164719054085135
pairwise_router_v120_budget0_all_0023_both_correct_s60603_p2_t2,both_correct,BOTH,60603,2,2,union_rank_top3,True,True,1.5,3/2,0.9998828334698652,0.4164719054085135
pairwise_router_v120_budget0_all_0024_both_correct_s60603_p2_t3,both_correct,BOTH,60603,2,3,union_rank_top3,True,True,1.5,3/2,0.9999676923120516,0.4164719054085135
pairwise_router_v120_budget0_all_0025_both_correct_s60603_p2_t4,both_correct,BOTH,60603,2,4,union_rank_top3,True,True,1.5,3/2,0.9999501899953596,0.4164719054085135
