packet_id,category,expected_choice,seed,pid,trial,policy,baseline_correct,policy_correct,baseline_answer,policy_answer,router_score,threshold,source_packet_id,prompt_variant
pairwise_router_v125_budget2_all_0494_regression_s60601_p88_t0__solve_first,regression,A,60601,88,0,union_rank_top3,True,False,1,5,0.920720581058946,0.4058560494818109,pairwise_router_v125_budget2_all_0494_regression_s60601_p88_t0,solve_first
pairwise_router_v125_budget2_all_0494_regression_s60601_p88_t0__type_check,regression,A,60601,88,0,union_rank_top3,True,False,1,5,0.920720581058946,0.4058560494818109,pairwise_router_v125_budget2_all_0494_regression_s60601_p88_t0,type_check
pairwise_router_v125_budget2_all_0499_regression_s60602_p63_t6__solve_first,regression,A,60602,63,6,union_rank_top3,True,False,1,2,0.6471928699319596,0.5724907763523925,pairwise_router_v125_budget2_all_0499_regression_s60602_p63_t6,solve_first
pairwise_router_v125_budget2_all_0499_regression_s60602_p63_t6__type_check,regression,A,60602,63,6,union_rank_top3,True,False,1,2,0.6471928699319596,0.5724907763523925,pairwise_router_v125_budget2_all_0499_regression_s60602_p63_t6,type_check
pairwise_router_v125_budget2_all_0509_regression_s60603_p82_t2__solve_first,regression,A,60603,82,2,union_rank_top3,True,False,270,monday,0.3141475192559522,0.20635995741338195,pairwise_router_v125_budget2_all_0509_regression_s60603_p82_t2,solve_first
pairwise_router_v125_budget2_all_0509_regression_s60603_p82_t2__type_check,regression,A,60603,82,2,union_rank_top3,True,False,270,monday,0.3141475192559522,0.20635995741338195,pairwise_router_v125_budget2_all_0509_regression_s60603_p82_t2,type_check
pairwise_router_v125_budget2_all_0510_regression_s60603_p82_t7__solve_first,regression,A,60603,82,7,union_rank_top3,True,False,270,wednesday,0.4023485158021762,0.20635995741338195,pairwise_router_v125_budget2_all_0510_regression_s60603_p82_t7,solve_first
pairwise_router_v125_budget2_all_0510_regression_s60603_p82_t7__type_check,regression,A,60603,82,7,union_rank_top3,True,False,270,wednesday,0.4023485158021762,0.20635995741338195,pairwise_router_v125_budget2_all_0510_regression_s60603_p82_t7,type_check
pairwise_router_v125_budget2_all_0511_regression_s60603_p88_t4__solve_first,regression,A,60603,88,4,union_rank_top3,True,False,1,5,0.9199144358715624,0.20635995741338195,pairwise_router_v125_budget2_all_0511_regression_s60603_p88_t4,solve_first
pairwise_router_v125_budget2_all_0511_regression_s60603_p88_t4__type_check,regression,A,60603,88,4,union_rank_top3,True,False,1,5,0.9199144358715624,0.20635995741338195,pairwise_router_v125_budget2_all_0511_regression_s60603_p88_t4,type_check
pairwise_router_v125_budget2_all_0366_recovery_s60602_p63_t0__solve_first,recovery,B,60602,63,0,union_rank_top3,False,True,0,1,0.6121007772311441,0.5724907763523925,pairwise_router_v125_budget2_all_0366_recovery_s60602_p63_t0,solve_first
pairwise_router_v125_budget2_all_0366_recovery_s60602_p63_t0__type_check,recovery,B,60602,63,0,union_rank_top3,False,True,0,1,0.6121007772311441,0.5724907763523925,pairwise_router_v125_budget2_all_0366_recovery_s60602_p63_t0,type_check
pairwise_router_v125_budget2_all_0367_recovery_s60602_p63_t3__solve_first,recovery,B,60602,63,3,union_rank_top3,False,True,0,1,0.6603329907009257,0.5724907763523925,pairwise_router_v125_budget2_all_0367_recovery_s60602_p63_t3,solve_first
pairwise_router_v125_budget2_all_0367_recovery_s60602_p63_t3__type_check,recovery,B,60602,63,3,union_rank_top3,False,True,0,1,0.6603329907009257,0.5724907763523925,pairwise_router_v125_budget2_all_0367_recovery_s60602_p63_t3,type_check
pairwise_router_v125_budget2_all_0068_neither_correct_s60601_p88_t1__solve_first,neither_correct,NEITHER,60601,88,1,union_rank_top3,False,False,6,5,0.7402643151053973,0.4058560494818109,pairwise_router_v125_budget2_all_0068_neither_correct_s60601_p88_t1,solve_first
pairwise_router_v125_budget2_all_0068_neither_correct_s60601_p88_t1__type_check,neither_correct,NEITHER,60601,88,1,union_rank_top3,False,False,6,5,0.7402643151053973,0.4058560494818109,pairwise_router_v125_budget2_all_0068_neither_correct_s60601_p88_t1,type_check
pairwise_router_v125_budget2_all_0069_neither_correct_s60601_p88_t3__solve_first,neither_correct,NEITHER,60601,88,3,target_intersection_top20,False,False,6,5,0.8410374065739977,0.4058560494818109,pairwise_router_v125_budget2_all_0069_neither_correct_s60601_p88_t3,solve_first
pairwise_router_v125_budget2_all_0069_neither_correct_s60601_p88_t3__type_check,neither_correct,NEITHER,60601,88,3,target_intersection_top20,False,False,6,5,0.8410374065739977,0.4058560494818109,pairwise_router_v125_budget2_all_0069_neither_correct_s60601_p88_t3,type_check
